neuron_id,hit_peak,hit_auc,hit_latency,miss_peak,miss_auc,miss_latency,fa_peak,fa_auc,fa_latency,cr_peak,cr_auc,cr_latency
0588_20180904_24_timeseries.mat,0.24974317747124758,3.1923506473359176,14,0.6246392003127507,3.5436685108105017,22,0.25583348671175743,3.5764151293372275,13,0.3292381366294238,1.8492030852990788,17
0588_20180904_27_timeseries.mat,0.05272724750289351,-0.6233205306916278,1,0.18176521520529473,-1.4126541041152363,38,0.06288745170794763,-0.37814531133374946,11,0.09265083463622197,-0.21020910708173152,6
0588_20180904_29_timeseries.mat,0.09101690786232962,0.46257107658361385,25,0.5614070242403874,7.753374592977619,39,0.0668171565090348,0.49770575867506184,21,0.15354696833979217,0.7623937891948731,18
0588_20180904_2_timeseries.mat,0.26729156182180175,4.235204030507059,8,0.3345519133976528,-1.8962402201834179,9,0.3244445223061301,4.843777588365212,9,0.43302229233837175,5.705423325045049,7
0588_20180904_30_timeseries.mat,0.3706538365729849,5.057281683894316,19,0.6774937366800649,7.346026216899709,36,0.40280034765234085,4.379052698460756,16,0.643642702173712,8.189055162618718,18
0588_20180904_31_timeseries.mat,0.11378982665600683,1.3689802229771757,12,0.12440903910568782,-0.7110057891065177,0,0.1333155157187427,1.2943868076892857,11,0.13424370861462048,1.406387019786365,16
0588_20180904_32_timeseries.mat,0.25206414608199673,2.9080345273642405,16,0.2176401082958494,-0.13516319030895826,13,0.37086173644891807,3.2097497889554543,15,0.2555259163491428,2.18956606939353,16
0588_20180904_34_timeseries.mat,0.3396760082118764,2.9215355254433013,13,0.6060903540679387,4.71865374708016,17,0.36719243736729984,3.1504947846626985,13,0.17846338239858947,-0.12663212254197803,34
0588_20180904_35_timeseries.mat,0.057109092701986795,0.19328945187753346,16,0.0749454599406038,-0.0700458505917119,25,0.09435535579666009,0.5618312526231602,15,0.12249502394491085,1.5878562622097907,4
0588_20180904_36_timeseries.mat,0.5431698186498349,8.59528426851237,11,0.9502624722995928,6.289495170970136,35,0.533380011610109,6.254380895903195,10,0.24517701497121203,4.023125564541828,14
0588_20180904_37_timeseries.mat,0.765636887963035,7.2916740106002775,8,0.7772767330918994,5.33183726118434,21,0.8466545110211817,9.697050188433536,8,1.0056404622511999,15.36946932677842,7
0588_20180904_39_timeseries.mat,0.1825153034658068,0.9284099933767234,7,0.5672946021492992,7.411860604191175,32,0.15662800991003267,0.8994816569336122,7,0.17858121416253608,1.2094491819701823,9
0588_20180904_44_timeseries.mat,0.27926142325947345,2.920981439199227,12,0.3258711136877537,2.58182902841474,21,0.3143074225145602,3.2088457971253463,13,0.25988606447654383,2.2383910032329233,12
